Size, Instance Index, Insertion Time, Merge Time, Radix Time
100,10.5,2.1550000000000002e-05,2.5500000000000003e-05,1.11e-05
200,10.5,7.0649999999995e-05,4.8349999999999996e-05,2.395e-05
400,10.5,0.000314099999999965,0.000248899999999995,5.2050000000000005e-05
800,10.5,0.0020681999999999654,0.00026514999999995004,0.00010024999999997
1600,10.5,0.002932199999999945,0.00038349999999995,0.00018914999999998
3200,10.5,0.013366749999999955,0.00093844999999997,0.000426249999999945
6400,10.5,0.049493549999999956,0.0018243499999999451,0.00073724999999994
12800,10.5,0.18155749999999996,0.003604249999999945,0.0017014499999999599
25600,10.5,0.7811882,0.007692899999999961,0.003498749999999935
51200,10.5,3.0219728,0.01599489999999994,0.006849699999999945
